fiscal_year,applications_supported,personal_computers,printers,servers,help_desk_requests,equipment_maintenance_cost,it_capital_budget_adopted,isf_capital_actual
2004,70,531,,,1520,28450,,
2005,74,551,,,1620,25560,,
2006,79,568,,,1800,15790,,
2007,87,588,,,1890,26500,,134534
2008,99,588,,,2268,19388,749000,267890
2009,107,588,,,2000,30000,103100,
2010,104,566,,,2200,22200,215000,
2011,109,481,199,58,2507,23070,70910,
2012,115,475,,65,2423,21320,84430,
2013,123,484,136,68,2314,30159,181500,
2014,151,484,140,66,3079,25826,46000,
2015,154,484,140,63,3028,19376,238500,
2016,154,484,140,63,3028,19376,165000,
2017,162,498,145,70,3207,14000,145000,39966
2018,164,503,145,72,3683,13090,120000,
2019,172,502,155,74,3043,6743,125000,
2020,163,506,195,73,2864,6556,500000,
2021,164,512,205,75,3040,15500,150000,
2022,164,512,205,75,2250,14014,120000,
2023,168,546,136,76,2551,18236,120000,116071
2024,168,566,136,85,2206,22132,40000,290000
2025,168,585,138,82,2000,37000,290000,
2026,168,595,138,81,2000,42920,148000,
