fiscal_year,it_operating_expenses,it_operating_revenues
2005,1500672,1322190
2006,1430321,1430493
2007,1653649,1515678
2008,1583195,1605304
2009,1570371,1634795
2010,1352419,1576310
2011,1395019,1365821
2012,1499330,1553645
2013,1708100,1552009
2014,1778680,1509585
2015,2056254,1809404
2016,1902658,1845450
2017,1821152,1963408
2018,2028008,2057212
2019,1962479,2150401
2020,2152469,2205776
2021,2088314,2252386
2022,2065383,2342368
2023,2131109,2517508
2024,2383834,2620404
2025,2678683,2681092
